# Time [s],Power [W]
0,0
1,0
2,0
3,0
4,0
5,5.4192
6,5.5197
7,5.5524
8,5.5534
9,5.552
10,5.5541
11,5.5529
12,5.5517
13,5.5521
14,5.5527
15,5.553
16,5.5594
17,5.995
18,8.6498
19,12.3501
20,12.326
21,15.5514
22,21.3921
23,22.9561
24,13.3112
25,9.7112
26,8.0939
27,9.3335
28,8.5889
29,14.8191
30,12.6262
31,18.3223
32,20.999
33,22.1876
34,21.5217
35,16.063
36,13.7641
37,12.6117
38,12.0656
39,9.5684
40,6.9969
41,0.6822
42,-5.1749
43,-4.8424
44,-2.2146
45,-1.3857
46,-4.0837
47,-4.5756
48,-0.8863
49,3.236
50,5.2751
51,4.3971
52,4.0797
53,5.0945
54,6.5063
55,5.5324
56,3.157
57,2.1832
58,4.6442
59,5.9976
60,6.1602
61,6.1749
62,6.6771
63,6.7317
64,10.6829
65,7.7136
66,7.7252
67,7.1328
68,8.6248
69,8.3066
70,7.3274
71,7.3317
72,12.1171
73,16.3818
74,19.4839
75,21.3141
76,20.6902
77,16.7511
78,13.5619
79,12.6915
80,13.424
81,14.2293
82,12.8136
83,9.4869
84,5.5342
85,5.4953
86,2.4357
87,6.4279
88,6.4518
89,4.1767
90,4.9351
91,4.589
92,5.8103
93,-1.2459
94,-7.7089
95,-6.9568
96,-3.5206
97,1.5441
98,2.974
99,2.9452
100,3.5657
101,4.7669
102,5.277
103,5.4991
104,5.5485
105,5.5522
106,5.553
107,5.5541
108,5.5537
109,5.5533
110,5.5541
111,5.5526
112,5.5522
113,5.5519
114,5.5516
115,5.5513
116,5.5522
117,5.5536
118,5.5534
119,5.5547
120,5.5544
121,5.5554
122,5.5552
123,5.5549
124,5.5533
125,5.5531
126,5.5529
127,5.5525
128,5.5526
129,5.5535
130,5.5547
131,5.5529
132,5.5527
133,5.5541
134,5.5523
135,5.5518
136,5.5533
137,5.5531
138,5.5542
139,5.5554
140,5.5551
141,5.5521
142,5.5605
143,6.0968
144,9.4813
145,15.3693
146,17.3814
147,13.4176
148,9.5575
149,9.4633
150,13.2754
151,16.3882
152,16.3862
153,13.6536
154,10.0041
155,5.7216
156,-0.0168
157,-5.4723
158,-4.2948
159,-0.0383
160,4.2004
161,7.2542
162,9.2957
163,13.9947
164,14.9342
165,17.8132
166,14.7633
167,15.4701
168,15.4299
169,14.6265
170,12.2485
171,12.8866
172,17.8064
173,18.6292
174,12.6393
175,5.1234
176,-1.9089
177,-7.645
178,-5.3835
179,1.4677
180,6.2536
181,9.9106
182,14.6659
183,13.2006
184,9.1465
185,6.9607
186,6.0933
187,4.0039
188,0.1741
189,-0.0193
190,0.0518
191,1.789
192,2.7289
193,3.6768
194,4.1382
195,4.8623
196,4.8843
197,5.4578
198,5.644
199,5.8067
200,6.1026
201,6.1719
202,6.1832
203,7.0916
204,7.1267
205,8.2797
206,8.4744
207,9.9559
208,13.2985
209,13.381
210,15.6959
211,18.9121
212,18.8292
213,18.5551
214,23.7034
215,20.5441
216,17.8772
217,15.9801
218,15.1105
219,17.8588
220,21.0743
221,23.2579
222,22.8132
223,21.3355
224,18.8538
225,16.8541
226,13.2067
227,13.1879
228,12.5299
229,13.3392
230,15.0329
231,14.4121
232,14.4507
233,13.8326
234,13.1421
235,10.6881
236,8.2445
237,1.2203
238,-2.8952
239,-2.2512
240,1.8235
241,5.3223
242,4.22
243,0.3736
244,-4.9289
245,-5.462
246,-1.3448
247,-3.1293
248,-2.2637
249,-1.4223
250,-4.0969
251,-4.5831
252,-0.8734
253,3.2059
254,5.2674
255,4.4444
256,4.0374
257,5.0941
258,6.4557
259,5.5211
260,3.1677
261,4.1112
262,8.299
263,12.8348
264,14.5943
265,15.4709
266,16.1547
267,19.4934
268,25.1918
269,26.4176
270,24.4824
271,19.1553
272,21.4847
273,18.4972
274,18.8908
275,9.8765
276,6.4831
277,7.0459
278,0.0921
279,-5.6632
280,-4.6547
281,-6.9751
282,-5.3943
283,-9.2218
284,-3.597
285,3.5056
286,15.6101
287,21.1209
288,22.8441
289,26.5731
290,25.7533
291,27.5318
292,29.4725
293,31.4418
294,23.026
295,14.1188
296,5.428
297,2.5282
298,4.162
299,5.83
300,8.4779
301,9.7933
302,11.2297
303,10.6236
